,mszoning,lotarea,housestyle,yearbuilt,centralair,garagecars,garagearea,yrsold,saleprice,no_houses,age_houses
96,RL,10264,1Story,1999,1,2,472,2006,214000,1,7
97,RL,10921,1Story,1965,1,1,432,2007,94750,1,42
99,RL,9320,1Story,1959,1,0,0,2010,128950,1,51
100,RL,10603,1Story,1977,1,2,480,2010,205000,1,33
101,RL,9206,2Story,1985,1,2,476,2010,178000,1,25
103,RL,10402,1Story,2009,1,3,740,2010,198900,1,1
106,RM,10800,1Story,1885,1,1,273,2007,100000,1,122
114,RL,7259,2Story,1945,1,1,180,2007,259500,1,62
116,RL,11616,1Story,1962,1,1,288,2009,139000,1,47
118,RL,12376,2Story,1990,1,3,594,2010,320000,1,20
122,RL,9464,1Story,1958,1,1,288,2008,136000,1,50
124,RL,17043,1Story,1979,1,2,435,2009,181000,1,30
128,RL,7590,2Story,1966,1,2,453,2006,155000,1,40
130,RL,14200,2Story,1966,1,2,487,2006,226000,1,40
131,RL,12224,2Story,2000,1,2,390,2009,244000,1,9
132,RL,7388,1Story,1959,1,2,624,2007,150750,1,48
133,RL,6853,1Story,2001,1,2,471,2009,220000,1,8
134,RL,10335,1Story,1968,1,2,440,2006,180000,1,38
135,RL,10400,1Story,1970,1,2,530,2008,174000,1,38
136,RL,10355,1Story,1967,1,1,318,2007,143000,1,40
138,RL,9066,2Story,1999,1,3,660,2008,230000,1,9
139,RL,15426,2Story,1997,1,2,470,2009,231500,1,12
141,RL,11645,1Story,2005,1,2,660,2006,260000,1,1
143,RL,10335,1Story,1999,1,2,577,2009,204000,1,10
146,RM,6120,1Story,1931,1,1,180,2009,105000,1,78
147,RL,9505,2Story,2001,1,2,434,2010,222500,1,9
148,RL,7500,1Story,2004,1,0,0,2008,141000,1,4
150,RL,10356,1Story,1975,1,2,440,2007,122000,1,32
152,RL,14803,2Story,1971,1,2,495,2006,190000,1,35
153,RL,13500,1Story,1960,1,2,564,2008,235000,1,48
156,RL,7200,1Story,1950,1,2,625,2006,109500,1,56
160,RL,11120,1Story,1984,1,2,516,2008,162500,1,24
161,RL,13688,2Story,2003,1,3,726,2008,412500,1,5
164,RM,5400,1Story,1926,1,1,216,2007,152000,1,81
168,RL,8244,2Story,2004,1,2,440,2007,183500,1,3
169,RL,16669,1Story,1981,1,2,511,2006,228000,1,25
171,RL,31770,1Story,1960,1,2,528,2010,215000,1,50
174,RL,12416,1Story,1986,1,2,616,2008,184000,1,22
175,RL,12615,1Story,1950,1,2,576,2007,243000,1,57
176,RL,10029,2Story,1988,1,2,521,2007,211000,1,19
179,RM,8520,1Story,1923,1,2,480,2007,100000,1,84
181,RL,7588,2Story,1920,1,1,216,2006,200100,1,86
182,RL,9060,1Story,1957,1,1,252,2007,120000,1,50
190,RL,10570,2Story,1932,1,2,440,2007,315000,1,75
191,RL,7472,2Story,1972,1,2,484,2007,184000,1,35
192,RL,9017,1Story,1999,1,2,666,2009,192000,1,10
194,RL,7180,1Story,1972,1,1,352,2008,127000,1,36
199,RL,9591,1Story,2004,1,3,856,2009,274900,1,5
200,RM,8546,1Story,2003,1,2,440,2010,140000,1,7
201,RL,10125,1Story,1977,1,2,473,2008,171500,1,31
205,RL,11851,1Story,1990,1,2,500,2009,180500,1,19
206,RL,13673,1Story,1962,1,1,349,2007,143900,1,45
207,RL,12493,1Story,1960,1,1,312,2008,141000,1,48
208,RL,14364,2Story,1988,1,2,454,2007,277000,1,19
209,RL,8250,1Story,1964,1,2,504,2008,145000,1,44
210,RL,5604,1Story,1925,0,0,0,2008,98000,1,83
211,RL,10420,1Story,2009,1,2,460,2010,186000,1,1
213,RL,13568,1Story,1995,1,2,576,2006,156000,1,11
214,RL,10900,2Story,1977,1,1,299,2010,161750,1,33
215,RL,10011,1Story,1957,1,1,447,2006,134450,1,49
216,RL,8450,1Story,2004,1,2,484,2008,210000,1,4
222,RL,11475,2Story,1975,1,2,434,2006,179900,1,31
224,RL,13472,1Story,2003,1,3,968,2009,386250,1,6
228,RL,8521,1Story,1967,1,1,336,2010,125000,1,43
230,RL,8760,1Story,1959,1,1,312,2010,148000,1,51
231,RL,15138,2Story,1995,1,3,810,2009,403000,1,14
233,RL,10650,1Story,1976,1,1,308,2010,128200,1,34
234,RL,7851,2Story,2002,1,2,440,2010,216500,1,8
236,RL,8773,1Story,2004,1,2,494,2010,185500,1,6
237,RL,9453,2Story,1993,1,2,457,2010,194500,1,17
241,RM,3880,1Story,1945,1,0,0,2007,110500,1,62
244,RL,8880,2Story,1994,1,2,463,2010,205000,1,16
245,RL,10400,1Story,1988,1,2,604,2006,241500,1,18
247,RL,11310,1Story,1954,1,2,451,2006,140000,1,52
248,RL,11317,2Story,2003,1,2,500,2007,180000,1,4
250,RL,5350,1Story,1940,1,0,0,2010,76500,1,70
252,RL,8366,2Story,2004,1,2,520,2008,173000,1,4
254,RL,8400,1Story,1957,1,1,294,2010,145000,1,53
255,RL,8738,2Story,1999,1,2,429,2006,230000,1,7
258,RL,12435,2Story,2001,1,2,564,2008,231500,1,7
259,RM,12702,1Story,1956,1,1,308,2008,97000,1,52
264,RM,5232,1Story,1925,0,2,504,2008,73000,1,83
265,RL,12090,1Story,1981,1,2,576,2008,175500,1,27
266,RL,11207,2Story,1997,1,2,413,2006,185000,1,9
268,RM,6900,1Story,1940,1,1,924,2008,120500,1,68
269,RL,7917,1Story,1976,1,1,504,2007,148000,1,31
271,RL,39104,1Story,1954,1,2,439,2008,241500,1,54
272,RL,11764,2Story,1999,1,3,671,2010,290000,1,11
273,RL,9600,1Story,1958,1,1,338,2009,139000,1,51
274,RL,8314,1Story,1982,1,1,264,2007,124500,1,25
276,RL,9196,1Story,2003,1,2,573,2010,201000,1,7
277,RL,19138,1Story,1951,1,2,400,2010,141000,1,59
279,RL,10005,2Story,1977,1,2,505,2008,192000,1,31
280,RL,11287,2Story,1989,1,2,575,2007,228500,1,18
287,RL,8125,1Story,1971,1,0,0,2006,88000,1,35
288,RL,9819,1Story,1967,1,1,280,2010,122000,1,43
289,RL,8730,2Story,1915,1,1,384,2007,153575,1,92
293,RL,16659,2Story,1977,1,2,539,2006,235000,1,29
294,RL,9600,1Story,1953,1,2,418,2009,167000,1,56
298,RL,11700,2Story,1968,1,2,539,2007,175000,1,39
301,RL,16226,2Story,1998,1,2,683,2007,267000,1,9
302,RL,13704,1Story,2001,1,3,843,2006,205000,1,5
305,RL,10386,1Story,2004,1,3,888,2007,305900,1,3
306,RL,13474,2Story,1990,1,3,746,2007,225000,1,17
308,RL,12342,1Story,1940,1,2,539,2009,82500,1,69
309,RL,12378,1Story,2003,1,3,708,2006,360000,1,3
310,RL,7685,2Story,1993,1,2,420,2006,165600,1,13
311,RL,8000,1Story,1948,1,1,240,2009,132000,1,61
313,RL,215245,1Story,1965,1,2,513,2009,375000,1,44
314,RM,9600,2Story,1925,1,2,546,2006,178000,1,81
315,RL,7795,2Story,2004,1,2,432,2009,188500,1,5
316,RL,13005,2Story,1980,1,2,484,2009,260000,1,29
318,RL,9900,2Story,1993,1,3,656,2009,260000,1,16
321,RL,12099,2Story,2004,1,3,872,2007,354000,1,3
322,RL,10380,2Story,1986,1,2,576,2007,301000,1,21
323,RM,5820,1Story,1955,1,1,220,2006,126175,1,51
327,RL,11600,1Story,1960,1,1,292,2006,145250,1,46
329,RM,6402,2Story,1920,0,1,189,2009,78000,1,89
331,RL,8176,1Story,1958,1,1,308,2007,139000,1,49
332,RL,10655,1Story,2003,1,3,880,2009,284000,1,6
334,RL,9042,2Story,1998,1,2,472,2008,192000,1,10
336,RL,14157,1Story,2005,1,3,676,2007,377426,1,2
337,RL,9135,1Story,2002,1,2,532,2008,214000,1,6
338,RL,14145,1Story,1984,1,2,440,2006,202500,1,22
339,RL,12400,1Story,1958,1,1,297,2009,155000,1,51
340,RL,14191,2Story,2002,1,2,431,2010,202900,1,8
346,RL,12772,1Story,1960,1,1,301,2007,151500,1,47
347,RL,17600,1Story,1960,1,2,498,2009,157500,1,49
353,RM,8520,1Story,1928,1,2,484,2010,105900,1,82
355,RL,11249,1Story,1995,1,2,521,2007,177500,1,12
356,RL,9248,1Story,1992,1,2,400,2009,173000,1,17
359,RL,12011,2Story,1998,1,2,592,2006,280000,1,8
364,RL,18800,2Story,1976,1,2,566,2006,190000,1,30
365,RM,10690,2Story,1920,1,1,468,2009,147000,1,89
366,RL,9500,1Story,1963,1,2,514,2009,159000,1,46
368,RL,7800,1Story,1954,1,1,244,2010,132000,1,56
369,RL,9830,1Story,1959,1,2,576,2010,162000,1,51
370,RL,8121,2Story,2000,1,2,460,2006,172400,1,6
373,RL,10634,1Story,1953,1,1,270,2009,123000,1,56
374,RL,8200,2Story,2003,1,2,434,2007,219500,1,4
375,RL,10020,1Story,1922,0,0,0,2009,61000,1,87
379,RL,8123,2Story,2000,1,2,463,2009,179000,1,9
382,RL,9245,2Story,2006,1,2,639,2007,213500,1,1
384,RL,53107,2Story,1992,1,2,501,2007,240000,1,15
388,RL,9382,1Story,1999,1,2,577,2008,191000,1,9
391,RL,12209,2Story,2001,1,2,560,2009,215000,1,8
392,RL,8339,1Story,1959,1,1,294,2007,106500,1,48
395,RL,9571,1Story,1956,1,1,596,2010,129000,1,54
396,RL,7200,1Story,1972,1,2,600,2009,123000,1,37
397,RL,7590,2Story,1962,1,1,264,2007,169500,1,45
402,RL,10200,1Story,1940,1,1,240,2008,108000,1,68
404,RL,10364,2Story,1995,1,2,373,2007,168000,1,12
405,RL,9991,1Story,1976,1,2,490,2009,150000,1,33
407,RL,15576,2Story,1915,1,1,308,2008,177000,1,93
413,RM,8960,1Story,1927,1,2,360,2010,115000,1,83
414,RL,11228,2Story,1993,1,3,678,2008,228000,1,15
416,RL,7844,2Story,1978,1,2,440,2006,149500,1,28
417,RL,22420,2Story,1918,0,3,864,2007,239000,1,89
419,RL,8450,1Story,1968,1,1,304,2010,142000,1,42
421,RL,16635,1Story,1977,1,2,529,2009,215000,1,32
422,RL,21750,1Story,1954,1,2,520,2008,113000,1,54
423,RL,9200,2Story,1998,1,3,696,2008,315000,1,10
424,RL,9000,1Story,1956,1,1,297,2008,139000,1,52
425,RM,3378,2Story,1946,1,1,240,2009,135000,1,63
427,RL,8593,1Story,1957,1,1,352,2008,109008,1,51
429,RL,11457,1Story,1988,1,2,576,2009,175000,1,21
433,RL,10839,2Story,1997,1,2,470,2008,181000,1,11
438,RL,4280,1Story,1913,0,1,352,2007,90350,1,94
440,RL,15431,1Story,2008,1,3,672,2009,555000,1,1
444,RL,8750,2Story,1994,1,2,493,2008,210000,1,14
446,RL,16492,1Story,1966,1,2,578,2010,190000,1,44
447,RL,11214,2Story,1998,1,2,431,2006,199900,1,8
450,RM,5684,1Story,1930,1,1,270,2006,110000,1,76
451,RL,70761,1Story,1975,1,2,576,2006,280000,1,31
452,RL,9303,2Story,1996,1,2,422,2007,204000,1,11
455,RL,9600,1Story,1973,1,2,528,2007,175500,1,34
457,RL,53227,1Story,1954,1,2,529,2008,256000,1,54
458,RM,5100,2Story,1925,1,1,228,2008,161000,1,83
461,RL,7200,2Story,1936,1,2,576,2009,155000,1,73
462,RL,8281,1Story,1965,1,1,360,2009,62383,1,44
463,RL,11988,2Story,1934,1,1,240,2008,188700,1,74
464,RL,8430,1Story,1978,1,0,0,2009,124000,1,31
466,RL,10628,1Story,1970,1,2,526,2007,167000,1,37
467,RL,9480,2Story,1942,1,1,312,2007,146500,1,65
468,RL,11428,1Story,2006,1,3,866,2007,250000,1,1
469,RL,9291,2Story,1993,1,2,506,2008,187000,1,15
471,RL,11952,2Story,1977,1,2,534,2007,190000,1,30
475,RL,8480,1Story,1963,1,2,624,2007,132500,1,44
476,RL,13125,1Story,1997,1,2,508,2008,208900,1,11
477,RL,13693,2Story,2006,1,3,694,2007,380000,1,1
478,RL,10637,1Story,2007,1,3,826,2009,297000,1,2
480,RL,16033,1Story,2004,1,3,772,2006,326000,1,2
481,RL,11846,1Story,2003,1,3,874,2006,374000,1,3
482,RM,2500,2Story,1915,1,1,164,2009,155000,1,94
484,RL,7758,1Story,1962,1,1,264,2007,132500,1,45
485,RL,9600,1Story,1950,1,1,264,2009,147000,1,59
486,RL,10289,1Story,1965,1,2,515,2007,156000,1,42
487,RL,12243,1Story,1971,1,2,487,2007,175000,1,36
493,RL,7931,1Story,1960,1,1,308,2008,155000,1,48
494,RM,5784,1Story,1938,1,1,273,2009,91300,1,71
496,RL,12692,1Story,1992,1,2,546,2007,430000,1,15
498,RL,7800,1Story,1967,1,1,288,2009,130000,1,42
499,RL,7535,1Story,1958,1,1,297,2007,120000,1,49
502,RL,9170,1Story,1965,1,2,461,2007,140000,1,42
503,RL,15602,1Story,1959,1,2,484,2010,289000,1,51
506,RL,9554,2Story,1993,1,2,471,2006,215000,1,13
508,RM,9600,2Story,1928,1,2,360,2008,161000,1,80
509,RL,9600,1Story,1959,1,1,270,2009,124500,1,50
510,RL,14559,1Story,1951,1,1,288,2009,164900,1,58
512,RL,9100,1Story,1958,1,2,624,2006,129900,1,48
513,RL,9187,1Story,1983,1,2,484,2007,134000,1,24
517,RL,10208,2Story,1996,1,3,889,2009,265000,1,13
518,RL,9531,2Story,1998,1,2,546,2007,211000,1,9
519,RL,10918,2Story,1926,1,1,282,2009,234000,1,83
521,RL,11988,1Story,1957,1,1,336,2007,150000,1,50
524,RL,11787,2Story,1996,1,3,834,2007,315750,1,11
526,RL,13300,1Story,1956,1,1,252,2007,132000,1,51
528,RL,9098,1Story,1920,1,0,0,2007,86000,1,87
531,RM,6155,2Story,1920,1,2,502,2008,128000,1,88
532,RL,7200,1Story,1955,1,1,392,2010,107500,1,55
533,RL,5000,1Story,1946,0,0,0,2007,39300,1,61
534,RL,9056,2Story,2004,1,2,403,2006,178000,1,2
536,RL,8924,2Story,1998,1,2,527,2008,188000,1,10
538,RL,11553,1Story,1968,1,1,336,2006,158000,1,38
539,RL,11423,1Story,2001,1,2,670,2010,272000,1,9
540,RL,14601,1Story,2006,1,3,765,2009,315000,1,3
541,RL,11000,2Story,2000,1,3,648,2007,248000,1,7
542,RL,10140,1Story,1998,1,2,583,2009,213250,1,11
548,RM,8235,1Story,1955,1,2,720,2008,125000,1,53
551,RM,6000,1Story,1957,1,1,288,2008,112500,1,51
552,RL,11146,1Story,2006,1,3,908,2009,255500,1,3
553,RL,8777,1Story,1949,1,2,520,2009,108000,1,60
554,RL,10625,2Story,2003,1,3,871,2008,284000,1,5
556,RL,14850,1Story,1957,1,1,299,2006,141000,1,49
558,RL,21872,2Story,1996,1,2,406,2008,175000,1,12
560,RL,11341,1Story,1957,1,2,528,2010,121500,1,53
561,RL,10010,1Story,1974,1,2,418,2006,170000,1,32
562,RL,13907,1Story,1940,1,0,0,2008,108000,1,68
564,RL,13346,2Story,1992,1,2,590,2006,268000,1,14
565,RL,6858,2Story,1915,0,1,216,2010,128000,1,95
566,RL,11198,2Story,2005,1,3,656,2008,325000,1,3
567,RL,10171,1Story,2004,1,2,532,2010,214000,1,6
580,RL,14585,1Story,1960,1,2,572,2007,181900,1,47
586,RL,10267,1Story,1918,1,1,275,2008,130000,1,90
589,RM,9100,1Story,1930,1,1,308,2008,79500,1,78
590,RL,8320,2Story,2004,1,2,520,2008,185900,1,4
592,RL,6600,1Story,1982,1,2,816,2008,138000,1,26
594,RL,7990,1Story,1975,1,1,280,2008,110000,1,33
596,RM,3600,2Story,1910,0,1,216,2006,114504,1,96
598,RL,12984,1Story,1977,1,2,621,2006,217500,1,29
600,RL,10927,2Story,2005,1,2,736,2006,275000,1,1
604,RL,12803,1Story,2002,1,2,530,2008,221000,1,6
605,RL,13600,2Story,1965,1,2,486,2009,205000,1,44
606,RL,12464,1Story,1996,1,2,576,2009,152000,1,13
607,RL,7800,2Story,1948,1,1,230,2006,225000,1,58
609,RL,7943,1Story,1961,1,1,261,2007,118500,1,46
610,RL,11050,2Story,2000,1,3,736,2009,313000,1,9
612,RL,11885,2Story,2001,1,2,531,2009,261500,1,8
616,RL,7861,2Story,2002,1,2,393,2006,183200,1,4
619,RL,12244,2Story,2003,1,3,749,2008,305000,1,5
620,RL,8248,1Story,1914,0,0,0,2008,67000,1,94
621,RL,10800,2Story,1974,1,2,624,2008,240000,1,34
622,RL,7064,1Story,1977,1,2,484,2009,135000,1,32
624,RL,10400,2Story,1972,1,2,484,2006,165150,1,34
625,RL,10000,1Story,1962,1,2,440,2010,160000,1,48
626,RL,12342,1Story,1960,1,1,286,2007,139900,1,47
633,RL,9250,1Story,1954,1,1,260,2007,139400,1,53
638,RL,8777,1Story,1910,1,0,0,2008,85000,1,98
643,RL,10793,2Story,1969,1,2,462,2007,152000,1,38
645,RL,10530,1Story,1971,1,2,576,2007,143250,1,36
646,RL,7200,1Story,1950,1,2,420,2008,98300,1,58
647,RL,10452,1Story,1953,1,2,495,2008,155000,1,55
648,RL,7700,2Story,1966,1,2,442,2010,155000,1,44
651,RL,9084,2Story,1940,1,1,296,2009,108000,1,69
652,RL,8750,2Story,1996,1,2,512,2009,191000,1,13
654,RL,10437,1Story,1995,1,3,839,2008,350000,1,13
656,RL,10007,1Story,1959,1,1,312,2008,145500,1,49
657,RL,7200,2Story,1931,1,1,270,2008,149000,1,77
659,RL,9937,1Story,1964,1,2,480,2009,167000,1,45
660,RL,12384,2Story,1976,1,2,550,2007,197900,1,31
661,RL,46589,2Story,1994,1,3,711,2009,402000,1,15
662,RL,13560,1Story,1968,1,2,576,2009,110000,1,41
665,RL,11194,2Story,2000,1,2,504,2006,230500,1,6
667,RL,8125,1Story,1994,1,2,575,2008,193500,1,14
668,RL,14175,1Story,1956,1,2,576,2006,168000,1,50
669,RL,11600,1Story,1922,1,1,252,2006,137500,1,84
670,RL,8633,2Story,2005,1,2,540,2009,173500,1,4
672,RL,11250,1Story,1977,1,2,546,2006,165000,1,29
673,RL,14442,1Story,1957,1,2,416,2007,257500,1,50
674,RL,9200,1Story,1965,1,1,384,2008,140000,1,43
676,RM,9600,2Story,1900,0,3,779,2006,87000,1,106
677,RL,9022,1Story,1924,1,1,240,2009,109500,1,85
679,RL,9945,1Story,1961,1,2,572,2007,128500,1,46
682,RL,2887,1Story,1996,1,2,431,2008,173000,1,12
683,RL,11248,1Story,2002,1,3,702,2007,285000,1,5
684,RL,16770,2Story,1998,1,2,486,2010,221000,1,12
691,RL,21535,2Story,1994,1,3,832,2007,755000,1,13
692,RL,26178,2Story,1989,1,2,628,2006,335000,1,17
695,RL,13811,1Story,1987,1,2,551,2006,176000,1,19
696,RM,6000,1Story,1921,1,1,205,2006,89000,1,85
697,RL,6420,1Story,1952,1,1,308,2006,123500,1,54
698,RL,8450,1Story,1965,1,1,336,2010,138500,1,45
700,RL,14331,1Story,2002,1,3,765,2006,312500,1,4
704,RL,8400,1Story,2004,1,2,606,2010,213000,1,6
706,RL,115149,1Story,1971,1,2,739,2007,302000,1,36
710,RL,4130,1Story,1935,1,0,0,2008,52000,1,73
714,RL,13517,2Story,1976,1,2,475,2010,130500,1,34
715,RL,10140,1Story,1974,1,2,478,2009,165000,1,35
716,RM,10800,2Story,1890,1,2,704,2007,159500,1,117
717,RL,10000,1Story,1973,1,2,439,2008,157000,1,35
718,RL,10542,2Story,1993,1,3,983,2008,341000,1,15
719,RL,9920,1Story,1969,1,1,300,2006,128500,1,37
720,RL,6563,1Story,1985,1,2,564,2006,275000,1,21
722,RL,8120,1Story,1970,1,2,463,2009,124500,1,39
724,RL,13286,1Story,2007,1,3,768,2009,320000,1,2
725,RL,6960,1Story,1970,1,2,660,2009,120500,1,39
726,RL,21695,1Story,1988,1,2,540,2009,222000,1,21
727,RL,7314,1Story,2007,1,2,632,2009,194500,1,2
732,RL,11404,2Story,1998,1,2,541,2008,222500,1,10
733,RL,10000,1Story,1961,1,1,264,2009,131400,1,48
737,RL,10463,2Story,2005,1,3,800,2006,239900,1,1
739,RL,9313,2Story,2004,1,2,572,2009,190000,1,5
741,RL,6768,1Story,1961,1,1,288,2008,142000,1,47
742,RL,8450,1Story,2000,1,2,539,2007,179000,1,7
745,RL,8963,2Story,1976,1,2,831,2008,299800,1,32
746,RL,8795,2Story,2000,1,2,554,2009,236000,1,9
747,RM,11700,2Story,1880,0,4,864,2009,265979,1,129
748,RL,10593,1Story,1996,1,2,527,2010,260400,1,14
751,RL,7750,2Story,2003,1,2,400,2007,162000,1,4
752,RL,9236,1Story,1997,1,2,576,2006,217000,1,9
753,RL,10240,2Story,2005,1,3,878,2006,275500,1,1
754,RL,7930,1Story,1969,1,2,440,2009,156000,1,40
756,RL,10769,2Story,2007,1,2,578,2009,212000,1,2
759,RL,12257,2Story,1995,1,3,752,2007,290000,1,12
760,RL,9100,1Story,1959,1,1,300,2009,127500,1,50
761,RM,6911,1Story,1924,1,2,440,2009,100000,1,85
763,RL,9430,2Story,1999,1,3,856,2009,337000,1,10
766,RL,10421,2Story,1988,1,2,496,2010,196500,1,22
768,RL,9100,1Story,2004,1,2,484,2006,216837,1,2
769,RL,53504,2Story,2003,1,3,841,2010,538000,1,7
777,RL,13350,1Story,1974,1,2,440,2006,142500,1,32
780,RL,7875,1Story,1995,1,2,402,2007,176000,1,12
781,RL,7153,2Story,1992,1,2,484,2006,175900,1,14
782,RL,16285,1Story,2001,1,2,605,2009,187100,1,8
785,RL,9790,1Story,1967,1,2,457,2009,161500,1,42
787,RL,10142,2Story,2004,1,2,618,2010,233000,1,6
788,RM,6000,1Story,1954,1,1,281,2008,107900,1,54
789,RL,12205,2Story,1966,1,2,444,2007,187500,1,41
792,RL,9920,2Story,1996,1,2,455,2007,269790,1,11
794,RL,10832,2Story,1994,1,2,409,2008,194500,1,14
795,RL,8400,2Story,1980,1,2,476,2010,171000,1,30
796,RL,8197,1Story,1977,1,2,528,2007,143500,1,30
800,RL,12798,2Story,1997,1,2,603,2008,200000,1,11
801,RM,4800,1Story,1916,1,2,440,2007,109900,1,91
802,RL,8199,2Story,2005,1,2,410,2008,189000,1,3
807,RL,21384,2Story,1923,1,2,528,2009,223500,1,86
810,RL,10140,1Story,1974,1,2,484,2006,181000,1,32
815,RL,12137,1Story,1998,1,2,598,2010,224900,1,12
816,RL,11425,1Story,1954,1,1,275,2006,137000,1,52
817,RL,13265,1Story,2002,1,3,857,2008,271000,1,6
820,RL,7226,2Story,2003,1,2,595,2008,183000,1,5
827,RL,8529,1Story,2001,1,2,527,2009,189000,1,8
830,RL,11900,1Story,1957,1,2,458,2008,166000,1,51
832,RL,9548,2Story,2003,1,2,613,2010,237000,1,7
833,RL,10004,1Story,1964,1,2,472,2009,167000,1,45
834,RL,7875,1Story,1961,1,2,456,2008,139950,1,47
835,RL,9600,1Story,1950,1,2,436,2010,128000,1,60
838,RL,9525,1Story,1995,1,1,352,2008,144000,1,13
841,RM,10440,2Story,1904,1,2,686,2008,157500,1,104
846,RL,9317,2Story,1993,1,2,425,2009,213000,1,16
847,RL,15523,1Story,1972,1,1,338,2009,133500,1,37
855,RL,6897,1Story,1962,1,1,260,2010,127000,1,48
857,RL,8125,2Story,1994,1,2,343,2009,174000,1,15
859,RL,11029,2Story,1968,1,2,619,2006,250000,1,38
862,RL,9672,1Story,1984,1,2,480,2010,152000,1,26
863,RL,7931,1Story,1959,1,1,672,2009,132500,1,50
865,RL,8750,1Story,1970,1,2,902,2009,148500,1,39
867,RL,6970,1Story,1961,1,2,544,2007,129000,1,46
868,RL,14762,2Story,1948,1,2,672,2006,169000,1,58
869,RL,9938,2Story,1993,1,2,574,2010,236000,1,17
870,RL,6600,1Story,1962,0,1,308,2009,109500,1,47
871,RL,8750,2Story,1998,1,2,523,2010,200500,1,12
872,RL,8892,1Story,1953,1,2,414,2008,116000,1,55
873,RL,12144,1Story,1949,1,1,288,2009,133000,1,60
876,RL,25286,1Story,1963,1,2,648,2007,132250,1,44
877,RL,8834,2Story,2004,1,3,738,2009,350000,1,5
879,RL,7000,1Story,1978,1,1,336,2009,136500,1,31
880,RL,7024,1Story,2005,1,2,450,2007,157000,1,2
882,RL,9636,2Story,1992,1,2,389,2009,178000,1,17
884,RL,7150,1Story,1967,1,1,288,2009,100000,1,42
888,RL,15865,1Story,1970,1,2,621,2007,268000,1,37
889,RL,12160,1Story,1953,1,2,505,2009,149500,1,56
